table	columns
products	id:uuid, catalog_id:uuid, category_id:uuid, title:text, slug:text, sku:text, status:USER-DEFINED, price:integer, old_price:integer, cost_price:integer, description:text, ingredients:text, weight:text, serving:text, stock_count:integer, is_unlimited:boolean, is_popular:boolean, is_new:boolean, is_promo:boolean, seo:jsonb, custom_fields:jsonb, sort_order:integer, created_at:timestamp with time zone, updated_at:timestamp with time zone
profiles	id:uuid, email:text, full_name:text, created_at:timestamp with time zone, updated_at:timestamp with time zone
restaurant	id:text, name:text, subtitle:text, logo_url:text, banner_url:text, whatsapp:text, instagram_url:text, address:text, mapLink:text, created_at:timestamp with time zone, updated_at:timestamp with time zone
restaurant_categories	id:uuid, restaurant_id:uuid, name:text, slug:text, image_url:text, sort_order:integer, is_active:boolean, created_at:timestamp with time zone
restaurant_couriers	id:uuid, restaurant_id:uuid, driver_id:uuid, is_active:boolean, created_at:timestamp with time zone, is_primary:boolean, priority:smallint
restaurant_delivery_settings	catalog_id:uuid, enable_orders:boolean, enable_delivery:boolean, enable_pickup:boolean, enable_hall_orders:boolean, use_own_courier:boolean, use_platform_drivers:boolean, own_courier_wait_minutes:integer, fallback_to_platform_drivers:boolean, qr_required:boolean, minimum_order_amount:integer, free_delivery_from:integer, default_preparation_minutes:integer, delivery_radius_km:numeric, delivery_hours_start:time without time zone, delivery_hours_end:time without time zone, out_of_hours_mode:text, updated_at:timestamp with time zone, delivery_area_mode:text, primary_city:text, service_settlements:ARRAY
restaurant_payment_settings	id:uuid, restaurant_id:uuid, enable_qr:boolean, enable_bank_transfer:boolean, enable_cash:boolean, bank_name:text, recipient_full_name:text, recipient_phone:text, payment_comment:text, qr_image_url:text, require_manual_confirmation:boolean, created_at:timestamp with time zone, updated_at:timestamp with time zone
restaurant_payments	id:uuid, restaurant_id:uuid, enable_transfer:boolean, requisite_type:text, phone_number:text, bank_name:text, first_name:text, last_name:text, middle_name:text, display_name:text, comment:text, allow_cash:boolean, require_confirmation:boolean, qr_image_url:text, created_at:timestamp with time zone, updated_at:timestamp with time zone
restaurant_platform_categories	id:uuid, restaurant_id:uuid, platform_category_id:uuid, created_at:timestamp with time zone
restaurant_socials	id:uuid, restaurant_id:uuid, instagram_url:text, whatsapp_phone:text, location_url:text, created_at:timestamp with time zone
restaurant_themes	id:uuid, accent_color:text, background_color:text, button_color:text, button_text_color:text, card_color:text, text_color:text, muted_text_color:text, created_at:timestamp with time zone, updated_at:timestamp with time zone
restaurants	id:uuid, catalog_id:uuid, name:text, slug:text, description:text, city_id:uuid, logo_url:text, cover_url:text, rating:numeric, min_order_amount:numeric, free_delivery_from:numeric, delivery_time_from:integer, delivery_time_to:integer, delivery_provider:text, allow_dine_in:boolean, allow_pickup:boolean, allow_delivery:boolean, is_active:boolean, theme_id:uuid, created_at:timestamp with time zone, updated_at:timestamp with time zone, address_line:text, lat:numeric, lng:numeric
settlement_requests	id:uuid, city_name:text, settlement_name:text, source:text, request_count:integer, status:text, created_at:timestamp with time zone, last_seen_at:timestamp with time zone
tags	id:uuid, catalog_id:uuid, name:text, slug:text, icon:text, color:text, sort_order:integer
template_presets	id:uuid, template_version_id:uuid, name:text, settings:jsonb, theme:jsonb, sections:jsonb, created_at:timestamp with time zone
template_versions	id:uuid, template_id:uuid, version:integer, status:text, entry_key:text, schema_version:integer, defaults:jsonb, migration_notes:text, published_at:timestamp with time zone, created_at:timestamp with time zone
templates	id:uuid, key:text, name:text, business_type:text, description:text, created_at:timestamp with time zone
theme_settings	id:text, restaurant_id:text, background_type:text, background_color:text, background_image_url:text, card_color:text, product_card_color:text, product_card_text_color:text, settings_card_color:text, settings_card_text_color:text, cart_panel_color:text, cart_panel_text_color:text, card_radius:integer, card_shadow:text, text_primary:text, text_secondary:text, product_title_color:text, category_title_color:text, accent_color:text, accent_secondary:text, button_style:text, button_radius:integer, header_style:text, created_at:timestamp with time zone, updated_at:timestamp with time zone
users	id:uuid, auth_user_id:uuid, name:text, phone:text, role:text, created_at:timestamp with time zone, email:text
web_push_subscriptions	id:uuid, user_id:uuid, role:text, catalog_id:uuid, driver_id:uuid, order_id:uuid, endpoint:text, p256dh:text, auth:text, user_agent:text, last_seen_at:timestamp with time zone, created_at:timestamp with time zone
